ZONE,ADJ_SA4,TRIP MODE,QUANTITY
1, City and Inner South (CBD),BIKE,6
1, City and Inner South (CBD),DRIVEALONE,191
1, City and Inner South (CBD),KNR_TRN,7
1, City and Inner South (CBD),PNR_TRN,6
1, City and Inner South (CBD),SHARED2,48
1, City and Inner South (CBD),SHARED3,3
1, City and Inner South (CBD),TAXI,2
1, City and Inner South (CBD),TNC_SHARED,2
1, City and Inner South (CBD),TNC_SINGLE,3
1, City and Inner South (CBD),WALK,44
1, City and Inner South (CBD),WALK_AB,22
1, City and Inner South (CBD),WALK_BM,18
1, City and Inner South (CBD),WALK_MR,28
2, City and Inner South (CBD),BIKE,39
2, City and Inner South (CBD),DRIVEALONE,1172
2, City and Inner South (CBD),KNR_TRN,36
2, City and Inner South (CBD),PNR_TRN,31
2, City and Inner South (CBD),SHARED2,287
2, City and Inner South (CBD),SHARED3,26
2, City and Inner South (CBD),TAXI,10
2, City and Inner South (CBD),TNC_SHARED,19
2, City and Inner South (CBD),TNC_SINGLE,26
2, City and Inner South (CBD),WALK,362
2, City and Inner South (CBD),WALK_AB,107
2, City and Inner South (CBD),WALK_BM,168
2, City and Inner South (CBD),WALK_MR,242
3, City and Inner South (CBD),BIKE,12
3, City and Inner South (CBD),DRIVEALONE,416
3, City and Inner South (CBD),KNR_TRN,13
3, City and Inner South (CBD),PNR_TRN,8
3, City and Inner South (CBD),SHARED2,118
3, City and Inner South (CBD),SHARED3,8
3, City and Inner South (CBD),TAXI,2
3, City and Inner South (CBD),TNC_SHARED,7
3, City and Inner South (CBD),TNC_SINGLE,6
3, City and Inner South (CBD),WALK,177
3, City and Inner South (CBD),WALK_AB,51
3, City and Inner South (CBD),WALK_BM,83
3, City and Inner South (CBD),WALK_MR,138
4, City and Inner South (CBD),BIKE,143
4, City and Inner South (CBD),DRIVEALONE,6919
4, City and Inner South (CBD),KNR_TRN,681
4, City and Inner South (CBD),PNR_TRN,580
4, City and Inner South (CBD),SHARED2,1520
4, City and Inner South (CBD),SHARED3,160
4, City and Inner South (CBD),TAXI,124
4, City and Inner South (CBD),TNC_SHARED,101
4, City and Inner South (CBD),TNC_SINGLE,189
4, City and Inner South (CBD),WALK,4235
4, City and Inner South (CBD),WALK_AB,1109
4, City and Inner South (CBD),WALK_BM,1464
