TZ16_CODE,TZ16_NAME,Tz16_Area,Flag,CBD,Gr_Parra,Gr_Penrith,Liverpool,Campbeltn,Airport,SA4_adj_ID,SA4_adj_NAME,SA4_adj_index,ABM_zone
1,Barangaroo_Headland Park,64884.12626,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,1
2,Barangaroo_Northern Cove,74488.64591,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,2
3,Barangaroo_Southern Cove,30794.77399,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,3
4,Barangaroo_Jenkins Lane,13964.45013,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,4
5,Barangaroo_Ferry Terminal,33804.09123,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,5
6,Sydney CBD_Moores Wharf,23405.44884,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,6
7,Sydney CBD_Hickson Road_Western End,26724.96224,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,7
8,Sydney CBD_The Rocks_Argyle Place,25366.41025,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,8
9,Walsh Bay,66847.64739,0,1,0,0,0,0,0,11, City and Inner South (CBD),0,9
10,Sydney CBD_Hickson Road_Eastern End,32784.86581,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,10
11,Sydney CBD_Dawes Point Park,41747.85415,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,11
12,Sydney CBD_The Rocks_Trinity Ave,30434.4033,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,12
13,Sydney CBD_Gloucester Walk,12779.90742,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,13
14,Sydney CBD_The Rocks_Argyle Centre,20559.55429,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,14
15,Sydney CBD_Hickson Rd Reserve,20572.76852,0,1,0,0,0,0,0,11, City and Inner South (CBD),0,15
16,Sydney CBD_Sydney Cove Overseas Passenger Terminal,26328.3035,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,16
17,Sydney Opera House,40824.62043,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,17
18,Sydney CBD_Kent St_Northern Section,31599.51639,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,18
19,Sydney CBD_Sydney Observatory,118316.4661,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,19
20,Sydney CBD_The Rocks_King George V Recreation Centre,27769.69912,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,20
21,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,15983.04424,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,21
22,Sydney CBD_Museum of Contemporary Art,20519.07661,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,22
23,Sydney CBD_Circular Quay East_The Toaster,24003.08412,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,23
24,Sydney CBD_The Rocks_Shangri La Hotel,12648.1352,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,24
25,Sydney CBD_The Rocks_Four Seasons Hotel,9991.849693,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,25
26,Sydney CBD_Circular Quay Station-Wharves,27298.33604,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,26
27,Sydney CBD_The Rocks_Science House,7229.637676,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,27
28,Sydney CBD_The Rocks_Cove Apartments,9381.668092,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,28
29,Sydney CBD_Grosvenor Place,11975.35026,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,29
30,Sydney CBD_Circular Quay_Herald Square,32090.31857,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,30
31,Sydney CBD_Circular Quay_Gateway Quayside,29015.88832,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,31
32,Sydney CBD_Circular Quay_Customs House,12695.54135,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,32
33,Sydney CBD_Circular Quay_AMP Centre,13111.99091,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,33
34,Sydney CBD_Sir Stamford and InterContinental Hotels,14064.62246,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,34
35,Royal Botanic Gardens,431650.5595,1,1,0,0,0,0,0,11, City and Inner South (CBD),0,35
36,Sydney CBD_Maritime Trade Towers,19950.23797,1,0,0,0,0,0,0,11, City and Inner South (CBD),0,36
